x,y,salinity
-666.6225020280638,-513.5349825797217,-32768.0
-641.9928031687431,-491.4909305209957,-32768.0
-618.2124042700885,-469.8273423274272,-32768.0
-594.0073553911008,-447.7840215145401,-32768.0
-570.2269564924463,-425.7410917222691,-32768.0
-546.0219076134587,-403.6984367019744,-32768.0
-521.8168587344711,-382.036103258084,-32768.0
-497.6118098554835,-359.9941140846227,-32768.0
-473.8314109568289,-338.1424950031007,-32768.0
-449.62636207784135,-315.9111808808932,-32768.0
-426.27061315951994,-294.44023384821367,-32768.0
-402.0655642805322,-272.20958254629585,-32768.0
-377.8605154015446,-250.16925353117009,-32768.0
-353.655466522557,-228.3192424799853,-32768.0
-329.8750676239025,-206.46959039791852,-32768.0
-305.67001874491484,-184.2402779466114,-32768.0
-281.88961984626036,-162.58126227428886,-32768.0
-257.68457096727275,-140.5425949327308,-32768.0
-233.4795220882851,-118.88421484132589,-32768.0
-209.69912318963057,-96.65625123821152,-32768.0
-185.91872429097606,-74.8085661888892,-32768.0
-161.71367541198845,-52.96119977037328,-32768.0
-137.5086265330008,-31.114164848595184,-32768.0
-113.7282276343463,-8.887524044648536,-32768.0
-89.09852877502554,12.768878341085449,-32768.0
-65.31812987637102,34.80488835730158,-32768.0
-41.537730977716514,56.84056985678017,-32768.0
-17.757332079062,78.6859592465475,-32768.0
6.023066819592514,100.5310229497892,-32768.0
30.65276567891326,122.37572838600491,-32768.0
54.43316457756777,144.6000534843564,-32768.0
78.6382134565554,166.44410931827872,-32768.0
102.84326233554302,188.2878336460549,-32768.0
126.62366123419756,210.32120943370626,0.10071182250976562
150.40406013285204,232.3542566972354,0.10071182250976562
175.0337589921728,254.19695559544377,0.10071182250976562
198.81415789082732,276.22934135740877,-32768.0
222.59455678948186,297.8815000325417,-32768.0
246.37495568813634,319.9132315718947,-32768.0
271.0046545474571,341.7545971421578,-32768.0
294.78505344611165,363.97561215372133,-32768.0
318.9901023250992,385.6264137693924,-32768.0
343.1951512040868,407.84671304781335,-32768.0
366.9755501027414,429.68685093439433,-32768.0
390.7559490013959,451.5266631197448,-32768.0
414.5363479000504,473.1762117526216,-32768.0
439.1660467593711,495.2051785255534,-32768.0
462.9464456580257,517.2339427530795,-32768.0
486.7268445566802,539.2623784435534,-32768.0
510.93189343566786,560.91054664664,-32768.0
535.1369423146554,583.3181088845693,-32768.0
558.9173412133099,604.9656945860237,-32768.0
582.6977401119645,626.8028852477014,-32768.0
607.3274389712852,649.0194302161077,-32768.0
631.1078378699398,670.8559608092978,-32768.0
654.8882367685942,692.6921656911596,-32768.0
678.6686356672487,714.9078891041013,-32768.0
703.2983345265695,736.5533228815358,-32768.0
727.078733425224,758.5784626302042,-32768.0
750.8591323238785,780.6032738316619,-32768.0
775.0641812028662,802.6276496136759,-32768.0
799.269230081854,824.4617760395096,-32768.0
822.6249790001752,846.295796306815,-32768.0
847.6793278398289,868.3189463443323,-32768.0
871.4597267384837,890.1521952527111,-32768.0
895.2401256371381,911.985118440576,-32768.0
919.0205245357927,934.0076237158062,-32768.0
942.8009234344471,956.2197068291046,-32768.0
967.0059723134349,977.8616134112121,-32768.0
991.2110211924224,1000.0729018646954,-32768.0
1014.9914200910769,1021.524380767641,-32768.0
1039.6211189503977,1043.7348643401385,-32768.0
1063.4015178490522,1065.7553893715185,-32768.0
1087.1819167477067,1087.7755858427547,-32768.0
1111.3869656266945,1109.605409608966,-32768.0
1135.592014505682,1131.624796740409,-32768.0
1159.3724134043364,1153.2642160830699,-32768.0
1183.1528123029912,1175.2830966855076,-32768.0
1206.9332112016455,1197.1117580598584,-32768.0
1231.5629100609663,1219.3195474279353,-32768.0
1255.3433089596208,1240.957660904924,-32768.0
1279.5483578386084,1263.1649423459123,-32768.0
1303.3287567372631,1284.9922878073478,-32768.0
1327.5338056162507,1306.8191334887517,-32768.0
1351.314204514905,1328.8357066318533,-32768.0
1375.0946034135595,1350.8519512037399,-32768.0
1399.7243022728803,1372.6776223321767,-32768.0
1423.5047011715346,1394.6932053073333,-32768.0
1447.2851000701894,1416.5185833586256,-32768.0
1471.490148949177,1438.5333190054794,-32768.0
1495.6951978281647,1460.1679732748728,-32768.0
1519.475596726819,1482.1822403293259,-32768.0
1543.2559956254736,1504.5759200751625,-32768.0
1567.8856944847944,1526.3992513106673,-32768.0
1591.6660933834487,1548.2226575937004,-32768.0
1615.4464922821035,1570.2356044640333,-32768.0
1639.2268911807578,1592.2482227529936,-32768.0
1663.8565900400786,1614.0702189742556,-32768.0
1687.636988938733,1635.8923136098167,-32768.0
1711.4173878373874,1657.7140824936603,-32768.0
1735.1977867360422,1680.105103236012,-32768.0
1759.4028356150297,1701.925989663068,-32768.0
1783.6078844940175,1723.7465445181815,-32768.0
1807.3882833926718,1745.3771454154112,-32768.0
1831.5933322716594,1767.5767483999962,-32768.0
1855.7983811506472,1789.3963100008853,-32768.0
1879.5787800493017,1811.4056319023512,-32768.0
1903.3591789479563,1833.4146252122914,-32768.0
1927.988877807277,1855.2329478785307,-32768.0
1951.7692767059314,1877.2412795506955,-32768.0
1975.9743255849191,1899.0591847566934,-32768.0
1999.3300745032407,1921.067113637799,-32768.0
2023.9597733625615,1942.8841012330176,-32768.0
2047.7401722612158,1965.270796667341,-32768.0
2071.9452211402036,1986.8975364488435,-32768.0
2096.150270019191,2009.0934606509875,-32768.0
2119.9306689178457,2030.7198092413487,-32768.0
2143.7110678165,2052.535669770709,-32768.0
2167.4914667151547,2074.730871447821,-32768.0
2191.271865613809,2096.546077605434,-32768.0
2215.90156447313,2118.3603935463634,-32768.0
2239.6819633717846,2140.554600661342,-32768.0
2263.462362270439,2162.178993110046,-32768.0
2287.6674111494267,2184.562076872696,-32768.0
2311.872460028414,2205.995696095087,-32768.0
2335.652858927069,2228.188580031385,-32768.0
2359.433257825723,2250.191310498978,-32768.0
2383.638306704711,2272.193409619107,-32768.0
2407.8433555836987,2294.0053551157903,-32768.0
2431.623754482353,2316.0070952983374,-32768.0
2455.4041533810073,2337.818690556811,-32768.0
2480.033852240328,2359.8191460807393,-32768.0
2504.2389011193154,2381.6297652083963,-32768.0
2527.5946500376376,2403.630505231627,-32768.0
2551.375048936292,2425.6305993050883,-32768.0
2575.5800978152793,2447.4402294707984,-32768.0
2599.7851466942666,2469.2495280326284,-32768.0
2624.4148455535874,2491.6275817964583,-32768.0
2648.1952444522426,2513.246739999076,-32768.0
2671.975643350897,2535.245182071468,-32768.0
2695.7560422495512,2557.243295521873,-32768.0
2719.5364411482055,2579.05127976924,-32768.0
2743.3168400468608,2601.048737389245,-32768.0
2767.9465389061816,2623.0451673121943,-32768.0
2791.726937804836,2644.852165532273,-32768.0
2815.931986683823,2666.8482774427744,-32768.0
2840.1370355628105,2688.8440548567296,-32768.0
2863.917434461465,2710.650067041166,-32768.0
2888.122483340453,2732.6451798353623,-32768.0
-644.1160530704086,-537.6614733838121,-32768.0
-619.911004191421,-515.6174591389428,-32768.0
-596.1306052927664,-493.5738449396593,-32768.0
-571.9255564137788,-471.7204930738378,-32768.0
-547.7205075347912,-450.05746783655474,-32768.0
-523.9401086361366,-427.82484701267526,-32768.0
-500.15970973748216,-406.16253446890653,-32768.0
-475.95466085849455,-383.9305209629079,-32768.0
-451.7496119795069,-361.8888341397885,-32768.0
-427.9692130808524,-340.2275029500579,-32768.0
-404.18881418219786,-318.37650799650606,-32768.0
-379.55911532287706,-296.14578951286506,-32768.0
-355.7787164242226,-274.6754219890794,-32768.0
-331.9983175255681,-252.25546295650506,-32768.0
-307.7932686465805,-230.5957309528524,-32768.0
-284.437519728259,-208.5564242312775,-32768.0
-259.8078208689383,-186.32738767108424,-32768.0
-235.6027719899507,-164.85862238134973,-32768.0
-211.39772311096303,-142.6302823298991,-32768.0
-187.61732421230855,-120.78224297637358,-32768.0
-163.836925313654,-98.93452930226232,-32768.0
-140.0565264149995,-77.08714130847653,-32768.0
-115.42682755567876,-54.86012547474533,-32768.0
-91.64642865702425,-33.203365483951494,-32768.0
-67.86602975836972,-11.166995192584023,-32768.0
-43.23633089904898,10.869043689213374,-32768.0
-19.455932000394466,32.52482369480966,-32768.0
4.324466898260049,54.560205400961316,-32768.0
28.529515777247678,76.7852092283561,-32768.0
52.73456465623531,98.43999760330505,-32768.0
76.51496355488982,120.4743892998379,-32768.0
100.29536245354433,142.31849591231187,-32768.0
124.07576135219887,164.5421871272373,-32768.0
148.28081023118648,186.19566100927344,-32768.0
172.91050909050722,207.84877859681777,0.10071182250976562
196.26625800882863,230.07150599049137,0.10071182250976562
220.89595686814937,252.29380718481565,0.10071182250976562
244.67635576680385,274.1359423447568,0.10071182250976562
268.45675466545845,296.1676983577607,0.10071182250976562
293.08645352477913,317.8191509554985,-32768.0
316.86685242343367,340.04019054138666,-32768.0
340.6472513220882,361.5011297633027,-32768.0
365.27695018140895,383.9113509002663,-32768.0
388.6326990997303,405.18175183015717,-32768.0
412.41309799838484,427.59141230534215,-32768.0
436.61814687737245,449.4308690650638,-32768.0
461.24784573669325,471.45986663129514,-32768.0
485.02824463534773,493.488655330341,-32768.0
508.8086435340022,515.1372510188982,-32768.0
532.5890424326567,537.1653854746098,-32768.0
557.2187412919775,559.0031131349426,-32768.0
580.999140190632,580.8406581228751,-32768.0
604.7795390892865,602.8678039236848,-32768.0
628.5599379879411,624.704696077018,-32768.0
653.1896368472617,646.731013990649,-32768.0
676.9700357459163,668.7571697120893,-32768.0
700.7504346445708,690.5930760821507,-32768.0
725.3801335038916,712.4284670202672,-32768.0
749.1605324025461,734.4536340700618,-32768.0
772.9409313012005,756.6683890802218,-32768.0
796.7213301998552,778.3130674347021,-32768.0
820.5017290985095,800.3372502555233,-32768.0
845.1314279578303,822.1709733135878,-32768.0
868.9118268564848,844.3844053747839,-32768.0
893.1168757354725,866.0276626032716,-32768.0
917.32192461446,888.2403149070188,-32768.0
941.1023235131147,909.8830316616371,-32768.0
964.8827224117691,932.0951407589952,-32768.0
989.5124212710899,953.9268570897441,-32768.0
1013.2928201697445,976.1383003245152,-32768.0
1037.0732190683989,997.3999082759268,-32768.0
1060.8536179670534,1019.6106958107154,-32768.0
1085.4833168263742,1041.6309765835515,-32768.0
1109.2637157250288,1063.8410968321202,-32768.0
1133.0441146236833,1085.2913054329565,-32768.0
1157.2491635026709,1107.5006210702284,-32768.0
1181.0295624013254,1129.5198576348855,-32768.0
1205.234611280313,1151.348721515701,-32768.0
1229.0150101789675,1172.9875207370574,-32768.0
1253.6447090382883,1195.1953425091406,-32768.0
1277.425107936943,1217.0233723776014,-32768.0
1301.2055068355974,1239.0409615598944,-32768.0
1325.410555714585,1261.058054225138,-32768.0
1349.6156045935727,1283.0748124531437,-32768.0
1373.396003492227,1304.7116485586826,-32768.0
1397.1764023908818,1326.5380410914615,-32768.0
1420.956801289536,1348.7438637198256,-32768.0
1445.5865001488567,1370.3793604048365,-32768.0
1469.3668990475114,1392.9642686208952,-32768.0
